Number;Title;Country;State;Location;PositionInFacade;
1;Battlefield of Princeton;USA;New Jersey;;14930;
2;Washington’s Landing Place;USA;New Jersey;Delaware River;14654;
3;The Cathedral of Reims;France;;;14476;
4;The Battle of Trenton;USA;New Jersey;;14234;
5;Pilgrims’ Settlement;Netherlands;;Leiden;14030;
6;Mount Pentelicus Quarry;Greece;;;13810;
7;Fortress Walls;Colombia;;Cartagena;13757;
8;Butter Tower;France;;Rouen;13535;
9;Suleiman Mosque;Turkey;;Istanbul;13485;
10;World Trade Center;USA;New York;NYC;13450;
11;Bridge in the Forbidden City;China;;Beijing;13065;
12;Battlements of Fortress Ehrenbreitstein;Germany;;;13072;
13;Santo Domingo Monastery Church;Panama;;Panama City;13013;
14;Sydney Opera House;Australia;;Sydney;13005;
15;St. Stephen’s Cathedral;Austria;;Vienna;12640;
16;Abraham Lincoln’s original tomb;USA;Illinois;Springfield;12620;
17;Shrine;Japan;;Tokyo;12602;
18;Roman Ruins;Libya;;Leptis Magna;12582;
19;The Alamo;USA;Texas;San Antonio;12128;
20;Nidaros Cathedral;Norway;;Trondhjem;12141;
21;Luther’s Wartburg;Germany;;Eisenach;12123;
22;The Great Wall of China;China;;;12137;
23;The Berlin Wall;Germany;;Berlin;12120;
24;„Hamlet’s“ Kronborg Castle;Denmark;;Helsingør;12071;
25;Taj Mahal;India;;Agra;12088;
26;Chillon Castle;Switzerland;;;12037;
27;Massachusetts Hall;USA;Massachusetts ;Cambridge;11987;
28;Westminster Abbey;United Kingdom;England;London;11999;
29;Edinburgh Castle;United Kingdom;Scotland;;1209;
30;Stone cannon ball, Pevensey Castle;United Kingdom;England;;11744;
31;Wawel Royal Castle;Poland;;Krakow;11663;
32;Royal Castle;Sweden;;Stockholm;11500;
33;Cologne Cathedral;Germany;;Cologne;11495;
34;Fort San Antonio Abad;Philippines;;Manila;11493;
35;Parthenon on the Acropolis;Greece;;Athens;11463;
36;Cologne Cathedral;Germany;;Cologne;11422;
37;Santa Lucia Barracks;Philippines;;Manila;11380;
38;David’s Tower;Israel;;Jerusalem;11335;
39;Fort Santiago;Philippines;;Manila;11343;
40;Notre Dame Cathedral;France;;Paris;11338;
41;Ancient Temple, Honan Province;China;;;11333;
42;Old General Post Office Dublin;Ireland;;;11336;
43;Winter Palace, Forbidden City;China;;Beijing;10435;
44;Temple, Forbidden City;China;;Beijing;10415;
45;Hagia Sophia;Turkey;;Istanbul;10377;
46;Temple, Forbidden City;China;;Beijing;10318;
47;Arc de Triomphe;France;;Paris;10290;
48;Roman Ruins, Roof Tile;Turkey;;Birecik;10299;
49;United States Memorial;France;;Mont Sec;10061;
50;Tower of Tears;Netherlands;;Amsterdam;9853;
51;Flodden Field;United Kingdom;England;Northumberland;9832;
52;Viking Stone;Sweden;;Lake Malar Region;9720;
53;Clementine Hall, Pontifical Palace;Vatican City;;;8753;
54;Christ Church;USA;Pennsylvania;Philadelphia;8739;
55;The Powder Tower;Latvia;;Riga;8662;
56;Lincoln Home;USA;Illinois;Springfield;8537;
57;Beaumaris Castle;United Kingdom;Wales;;8499;
58;Union Stockyard Gate;USA;Illinois;Chicago;8482;
59;Fort Sumter;USA;South Carolina;Charleston;8414;
60;Tainitzkaya Tower, the Kremlin;Russia;;Moscow;8384;
61;Bunker Hill;USA;Massachusetts;Charlestown;8377;
62;World’s Columbian Exposition;USA;Illinois;Chicago;8074;
63;Fort Marion;USA;Florida;St. Augustine;8055;
64;McCormick House;USA;Illinois;Chicago;8013;
65;Douglas Hall;USA;Illinois;Chicago;7711;
66;Mount McKinley;USA;Alaska;Denali National Park;7674;
67;St. John’s Episcopal Church;USA;Virginia;Richmond;7654;
68;The White House;USA;;Washington,DC;7604;
69;Kensington;USA;Minnesota;;7569;
70;The Colosseum;Italy;;Rome;6000;
71;Stabian Baths;Italy;;Pompeii;5900;
72;Badlands;USA;South Dakota;;5800;
73;Holy Door St. Peter’s Basilica;Vatican City;;;5700;
74;Monastery of Saint Michael;Ukraine;;Kiev;5600;
75;The Great Wall of China;China;;;5500;
76;Banteay Srei Hindu Temple;Cambodia;;Angkor;5400;
77;Ta Prohm Temple;Cambodia;;Angkor;5300;
78;The Great Pyramid of Giza;Egypt;;El Giza;5200;
79;House of Parliament;United Kingdom;England;London;5100;
80;Dome of St. Peter’s Basilica;Vatican City;;;5000;
81;Fort Ticonderoga;USA;New York;;4900;
82;William Henry Harrison Home;USA;Indiana;Vincennes;4800;
83;Mark Twain Cave;USA;Missouri;Hannibal;4700;
84;Mammoth Cave;USA;Kentucky;;4600;
85;Independence Hall;USA;Pennsylvania;Philadelphia;4500;
86;Walls of Derry;United Kingdom;Ireland;;4400;
87;Nassau Hall, Princeton University;USA;New Jersey;;4300;
88;Chimney Rock;USA;Nebraska;;4200;
89;Little America;Antarctica;;;4100;
90;International Peace Garden;USA, Canada;North Dakota;Manitoba;4000;
91;John Brown’s Cabin;USA;Kansas;Osawatomie;3900;
92;Port Louisa;USA;Iowa;;3800;
93;Gaspee Point;USA;Rhode Island;Warwick;3700;
94;Old Swedes Church;USA;Delaware;Wilmington;3600;
95;Roanoke Island;USA;North Carolina;;3500;
96;Nelson House;USA;Virginia;Yorktown;3400;
97;Old Fur Trading Post;USA;Wisconsin;Prairie du Chien;3300;
98;Old Chapel, Yale University;USA;Connecticut;New Haven;3200;
99;Ancient Town Hall;Sweden;;Stockholm;3100;
100;Fort William and Mary;USA;New Hampshire;New Castle;3000;
101;Sibyl’s Cave, Cumae;Italy;;Naples;2900;
102;John Brown’s Fort;USA;West Virginia;Harpers Ferry;2800;
103;Chimney Point;USA;Vermont;Lake Champlain;2700;
104;Confederate Prison;USA;Georgia;Andersonville;2600;
105;Custer Battlefield;USA;Montana;;2500;
